participant,task,technique,question,score
0,DnD,force,mental,8
0,DnD,force,physical,9
0,DnD,force,temporal,2
0,DnD,force,performance,18
0,DnD,force,effort,10
0,DnD,force,frustration,4
0,DnD,system,mental,14
0,DnD,system,physical,18
0,DnD,system,temporal,3
0,DnD,system,performance,14
0,DnD,system,effort,7
0,DnD,system,frustration,20
0,select,force,mental,6
0,select,force,physical,12
0,select,force,temporal,1
0,select,force,performance,18
0,select,force,effort,11
0,select,force,frustration,5
0,select,system,mental,2
0,select,system,physical,13
0,select,system,temporal,2
0,select,system,performance,16
0,select,system,effort,13
0,select,system,frustration,13
1,DnD,force,mental,3
1,DnD,force,physical,15
1,DnD,force,temporal,3
1,DnD,force,performance,15
1,DnD,force,effort,14
1,DnD,force,frustration,6
1,DnD,system,mental,8
1,DnD,system,physical,12
1,DnD,system,temporal,3
1,DnD,system,performance,13
1,DnD,system,effort,12
1,DnD,system,frustration,9
1,select,force,mental,3
1,select,force,physical,13
1,select,force,temporal,3
1,select,force,performance,15
1,select,force,effort,12
1,select,force,frustration,4
1,select,system,mental,3
1,select,system,physical,6
1,select,system,temporal,3
1,select,system,performance,11
1,select,system,effort,11
1,select,system,frustration,11
2,DnD,force,mental,1
2,DnD,force,physical,1
2,DnD,force,temporal,1
2,DnD,force,performance,20
2,DnD,force,effort,1
2,DnD,force,frustration,1
2,DnD,system,mental,2
2,DnD,system,physical,2
2,DnD,system,temporal,1
2,DnD,system,performance,8
2,DnD,system,effort,3
2,DnD,system,frustration,17
2,select,force,mental,2
2,select,force,physical,3
2,select,force,temporal,2
2,select,force,performance,15
2,select,force,effort,3
2,select,force,frustration,2
2,select,system,mental,2
2,select,system,physical,1
2,select,system,temporal,1
2,select,system,performance,15
2,select,system,effort,3
2,select,system,frustration,2
3,DnD,force,mental,9
3,DnD,force,physical,16
3,DnD,force,temporal,9
3,DnD,force,performance,11
3,DnD,force,effort,9
3,DnD,force,frustration,3
3,DnD,system,mental,4
3,DnD,system,physical,10
3,DnD,system,temporal,9
3,DnD,system,performance,8
3,DnD,system,effort,5
3,DnD,system,frustration,13
3,select,force,mental,11
3,select,force,physical,14
3,select,force,temporal,9
3,select,force,performance,12
3,select,force,effort,9
3,select,force,frustration,3
3,select,system,mental,4
3,select,system,physical,6
3,select,system,temporal,9
3,select,system,performance,15
3,select,system,effort,5
3,select,system,frustration,2
4,DnD,force,mental,10
4,DnD,force,physical,12
4,DnD,force,temporal,4
4,DnD,force,performance,10
4,DnD,force,effort,11
4,DnD,force,frustration,8
4,DnD,system,mental,14
4,DnD,system,physical,18
4,DnD,system,temporal,4
4,DnD,system,performance,6
4,DnD,system,effort,17
4,DnD,system,frustration,20
4,select,force,mental,12
4,select,force,physical,10
4,select,force,temporal,1
4,select,force,performance,9
4,select,force,effort,8
4,select,force,frustration,11
4,select,system,mental,4
4,select,system,physical,14
4,select,system,temporal,1
4,select,system,performance,10
4,select,system,effort,8
4,select,system,frustration,6
5,DnD,force,mental,5
5,DnD,force,physical,16
5,DnD,force,temporal,12
5,DnD,force,performance,7
5,DnD,force,effort,12
5,DnD,force,frustration,12
5,DnD,system,mental,9
5,DnD,system,physical,3
5,DnD,system,temporal,12
5,DnD,system,performance,3
5,DnD,system,effort,5
5,DnD,system,frustration,20
5,select,force,mental,3
5,select,force,physical,13
5,select,force,temporal,9
5,select,force,performance,10
5,select,force,effort,13
5,select,force,frustration,9
5,select,system,mental,11
5,select,system,physical,4
5,select,system,temporal,9
5,select,system,performance,4
5,select,system,effort,4
5,select,system,frustration,12
6,DnD,force,mental,10
6,DnD,force,physical,13
6,DnD,force,temporal,7
6,DnD,force,performance,18
6,DnD,force,effort,8
6,DnD,force,frustration,3
6,DnD,system,mental,9
6,DnD,system,physical,12
6,DnD,system,temporal,20
6,DnD,system,performance,3
6,DnD,system,effort,6
6,DnD,system,frustration,17
6,select,force,mental,10
6,select,force,physical,7
6,select,force,temporal,18
6,select,force,performance,13
6,select,force,effort,10
6,select,force,frustration,8
6,select,system,mental,13
6,select,system,physical,16
6,select,system,temporal,19
6,select,system,performance,11
6,select,system,effort,18
6,select,system,frustration,19
7,DnD,force,mental,14
7,DnD,force,physical,18
7,DnD,force,temporal,5
7,DnD,force,performance,8
7,DnD,force,effort,18
7,DnD,force,frustration,15
7,DnD,system,mental,14
7,DnD,system,physical,19
7,DnD,system,temporal,13
7,DnD,system,performance,9
7,DnD,system,effort,19
7,DnD,system,frustration,17
7,select,force,mental,12
7,select,force,physical,17
7,select,force,temporal,4
7,select,force,performance,8
7,select,force,effort,16
7,select,force,frustration,12
7,select,system,mental,13
7,select,system,physical,18
7,select,system,temporal,5
7,select,system,performance,6
7,select,system,effort,17
7,select,system,frustration,15
8,DnD,force,mental,10
8,DnD,force,physical,10
8,DnD,force,temporal,4
8,DnD,force,performance,14
8,DnD,force,effort,11
8,DnD,force,frustration,4
8,DnD,system,mental,11
8,DnD,system,physical,17
8,DnD,system,temporal,19
8,DnD,system,performance,1
8,DnD,system,effort,17
8,DnD,system,frustration,19
8,select,force,mental,10
8,select,force,physical,14
8,select,force,temporal,2
8,select,force,performance,9
8,select,force,effort,11
8,select,force,frustration,14
8,select,system,mental,10
8,select,system,physical,15
8,select,system,temporal,3
8,select,system,performance,4
8,select,system,effort,3
8,select,system,frustration,17
9,DnD,force,mental,14
9,DnD,force,physical,16
9,DnD,force,temporal,14
9,DnD,force,performance,11
9,DnD,force,effort,14
9,DnD,force,frustration,7
9,DnD,system,mental,12
9,DnD,system,physical,14
9,DnD,system,temporal,11
9,DnD,system,performance,10
9,DnD,system,effort,17
9,DnD,system,frustration,18
9,select,force,mental,13
9,select,force,physical,14
9,select,force,temporal,12
9,select,force,performance,17
9,select,force,effort,15
9,select,force,frustration,13
9,select,system,mental,12
9,select,system,physical,11
9,select,system,temporal,12
9,select,system,performance,15
9,select,system,effort,8
9,select,system,frustration,7
10,DnD,force,mental,10
10,DnD,force,physical,12
10,DnD,force,temporal,10
10,DnD,force,performance,11
10,DnD,force,effort,15
10,DnD,force,frustration,6
10,DnD,system,mental,9
10,DnD,system,physical,13
10,DnD,system,temporal,8
10,DnD,system,performance,3
10,DnD,system,effort,4
10,DnD,system,frustration,15
10,select,force,mental,8
10,select,force,physical,10
10,select,force,temporal,10
10,select,force,performance,13
10,select,force,effort,10
10,select,force,frustration,2
10,select,system,mental,3
10,select,system,physical,6
10,select,system,temporal,6
10,select,system,performance,10
10,select,system,effort,6
10,select,system,frustration,2
11,DnD,force,mental,3
11,DnD,force,physical,10
11,DnD,force,temporal,3
11,DnD,force,performance,13
11,DnD,force,effort,3
11,DnD,force,frustration,5
11,DnD,system,mental,3
11,DnD,system,physical,13
11,DnD,system,temporal,9
11,DnD,system,performance,11
11,DnD,system,effort,3
11,DnD,system,frustration,11
11,select,force,mental,3
11,select,force,physical,6
11,select,force,temporal,5
11,select,force,performance,14
11,select,force,effort,8
11,select,force,frustration,8
11,select,system,mental,3
11,select,system,physical,7
11,select,system,temporal,5
11,select,system,performance,14
11,select,system,effort,8
11,select,system,frustration,8
12,DnD,force,mental,1
12,DnD,force,physical,11
12,DnD,force,temporal,5
12,DnD,force,performance,15
12,DnD,force,effort,11
12,DnD,force,frustration,7
12,DnD,system,mental,11
12,DnD,system,physical,14
12,DnD,system,temporal,8
12,DnD,system,performance,18
12,DnD,system,effort,15
12,DnD,system,frustration,7
12,select,force,mental,16
12,select,force,physical,13
12,select,force,temporal,13
12,select,force,performance,7
12,select,force,effort,15
