id,imgfilename,imgtimestamp,imgfps,emotionapi,participant,block,calm,surprise,joy,others
0,neutral-1fp2s-0.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.22,0.18,0.29,0.31
1,neutral-1fp2s-1.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.56,0.03,0.22,0.18
2,neutral-1fp2s-2.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.43,0.13,0.3,0.14
3,neutral-1fp2s-3.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.21,0.2,0.19,0.4
4,neutral-1fp2s-4.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.23,0.35,0.13
5,neutral-1fp2s-5.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.04,0.46,0.11,0.39
6,neutral-1fp2s-6.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.37,0.06,0.28
7,neutral-1fp2s-7.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.29,0.13,0.31
8,neutral-1fp2s-8.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.44,0.38,0.17,0.01
9,neutral-1fp2s-9.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.22,0.05,0.38,0.35
10,neutral-1fp2s-10.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.2,0.32,0.24,0.24
11,neutral-1fp2s-11.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.24,0.27,0.2
12,neutral-1fp2s-12.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.23,0.37,0.16,0.24
13,neutral-1fp2s-13.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.23,0.31,0.12
14,neutral-1fp2s-14.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.4,0.04,0.42,0.15
15,neutral-1fp2s-15.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.16,0.13,0.36
16,neutral-1fp2s-16.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.01,0.18,0.45
17,neutral-1fp2s-17.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.24,0.34,0.06
18,neutral-1fp2s-18.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0,0.45,0.31,0.23
19,neutral-1fp2s-19.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.33,0.33,0.01
20,neutral-1fp2s-20.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.45,0.07,0.44,0.04
21,neutral-1fp2s-21.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.22,0.17,0.3
22,neutral-1fp2s-22.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.42,0.18,0.21,0.19
23,neutral-1fp2s-23.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.21,0.18,0.36
24,neutral-1fp2s-24.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.53,0.28,0.02,0.18
25,neutral-1fp2s-25.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.05,0.4,0.1,0.46
26,neutral-1fp2s-26.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.13,0.41,0.12
27,neutral-1fp2s-27.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.38,0.34,0.14,0.15
28,neutral-1fp2s-28.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.26,0.35,0.24,0.16
29,neutral-1fp2s-29.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.06,0.51,0.3,0.12
30,neutral-1fp2s-30.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.37,0.16,0.17,0.3
31,neutral-1fp2s-31.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.13,0.31,0.2,0.37
32,neutral-1fp2s-32.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.21,0.28,0.16,0.35
33,neutral-1fp2s-33.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.07,0.36,0.34,0.23
34,neutral-1fp2s-34.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.47,0.18,0.02
35,neutral-1fp2s-35.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.18,0.23,0.34,0.25
36,neutral-1fp2s-36.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.56,0.24,0.09,0.11
37,neutral-1fp2s-37.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.3,0.17,0.22
38,neutral-1fp2s-38.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.28,0.34,0.32,0.06
39,neutral-1fp2s-39.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.2,0.46,0.34,0.01
40,neutral-1fp2s-40.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.23,0.07,0.2,0.5
41,neutral-1fp2s-41.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.16,0.1,0.37
42,neutral-1fp2s-42.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.04,0.1,0.33,0.53
43,neutral-1fp2s-43.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.37,0.03,0.59,0.01
44,neutral-1fp2s-44.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.21,0.22,0.3,0.28
45,neutral-1fp2s-45.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.05,0.07,0.69,0.19
46,neutral-1fp2s-46.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.43,0.21,0.32,0.04
47,neutral-1fp2s-47.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.17,0.14,0.47,0.22
48,neutral-1fp2s-48.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.31,0.11,0.23
49,neutral-1fp2s-49.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.22,0.25,0.2
50,neutral-1fp2s-50.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.46,0.15,0.14
51,neutral-1fp2s-51.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.3,0.39,0.3,0
52,neutral-1fp2s-52.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.02,0.42,0.15,0.41
53,neutral-1fp2s-53.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.3,0.16,0.21
54,neutral-1fp2s-54.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.28,0.17,0.27,0.28
55,neutral-1fp2s-55.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.11,0.36,0.42,0.11
56,neutral-1fp2s-56.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.03,0.23,0.41
57,neutral-1fp2s-57.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.38,0,0.06,0.55
58,neutral-1fp2s-58.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.09,0.35,0.43,0.13
59,neutral-1fp2s-59.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.17,0.18,0.31
60,neutral-1fp2s-60.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.23,0.2,0.24
61,neutral-1fp2s-61.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.17,0.34,0.43,0.05
62,neutral-1fp2s-62.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.4,0.24,0.17
63,neutral-1fp2s-63.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.24,0.33,0.27,0.16
64,neutral-1fp2s-64.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.5,0.39,0.06,0.05
65,neutral-1fp2s-65.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.17,0.58,0.12,0.13
66,neutral-1fp2s-66.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.42,0.26,0.15,0.17
67,neutral-1fp2s-67.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.37,0.08,0.02,0.53
68,neutral-1fp2s-68.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.15,0.26,0.37,0.21
69,neutral-1fp2s-69.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.14,0.45,0.3,0.11
70,neutral-1fp2s-70.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.39,0.15,0.31,0.15
71,neutral-1fp2s-71.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.2,0.27,0.25,0.28
72,neutral-1fp2s-72.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.23,0.11,0.41
73,neutral-1fp2s-73.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.09,0.24,0.39,0.29
74,neutral-1fp2s-74.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.1,0.14,0.4,0.36
75,neutral-1fp2s-75.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.04,0.44,0.17,0.35
76,neutral-1fp2s-76.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.34,0.09,0.27
77,neutral-1fp2s-77.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.16,0.37,0.16,0.32
78,neutral-1fp2s-78.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.09,0.33,0.39,0.19
79,neutral-1fp2s-79.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.37,0.35,0.18,0.1
80,neutral-1fp2s-80.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.14,0.42,0.07
81,neutral-1fp2s-81.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.12,0.21,0.48,0.19
82,neutral-1fp2s-82.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.34,0.08,0.24
83,neutral-1fp2s-83.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.08,0.23,0.32,0.36
84,neutral-1fp2s-84.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.41,0.11,0.07,0.41
85,neutral-1fp2s-85.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.12,0.22,0.44,0.22
86,neutral-1fp2s-86.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.36,0.25,0.12
87,neutral-1fp2s-87.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.28,0.12,0.27
88,neutral-1fp2s-88.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.22,0.21,0.3
89,neutral-1fp2s-89.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.26,0.31,0.08
90,neutral-1fp2s-90.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.11,0.51,0.12,0.25
91,neutral-1fp2s-91.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.16,0.3,0.32,0.21
92,neutral-1fp2s-92.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.13,0.33,0.25,0.3
93,neutral-1fp2s-93.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.04,0.37,0.33
94,neutral-1fp2s-94.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.29,0.34,0.18
95,neutral-1fp2s-95.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.35,0.15,0.15
96,neutral-1fp2s-96.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.14,0.05,0.41,0.4
97,neutral-1fp2s-97.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.09,0.4,0.12,0.39
98,neutral-1fp2s-98.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.14,0.17,0.44,0.25
99,neutral-1fp2s-99.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.11,0.4,0.25,0.25
100,neutral-1fp2s-100.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.11,0.45,0.35,0.09
101,neutral-1fp2s-101.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.44,0.15,0.23
102,neutral-1fp2s-102.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.28,0.27,0.25,0.2
103,neutral-1fp2s-103.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.07,0.49,0.09
104,neutral-1fp2s-104.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.22,0.43,0.06
105,neutral-1fp2s-105.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.52,0.15,0.29,0.04
106,neutral-1fp2s-106.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.26,0.14,0.26
107,neutral-1fp2s-107.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.1,0.1,0.36,0.45
108,neutral-1fp2s-108.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.08,0.31,0.45,0.16
109,neutral-1fp2s-109.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.22,0.1,0.42,0.26
110,neutral-1fp2s-110.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.02,0.24,0.41,0.33
111,neutral-1fp2s-111.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.16,0.19,0.31,0.35
112,neutral-1fp2s-112.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.13,0.37,0.28,0.22
113,neutral-1fp2s-113.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.39,0.03,0.23,0.35
114,neutral-1fp2s-114.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.44,0.06,0.15
115,neutral-1fp2s-115.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.22,0.23,0.36
116,neutral-1fp2s-116.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.1,0.4,0.31,0.19
117,neutral-1fp2s-117.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.34,0.26,0.05
118,neutral-1fp2s-118.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.07,0.05,0.54,0.34
119,neutral-1fp2s-119.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.09,0.28,0.27
120,neutral-1fp2s-120.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.23,0.16,0.27
121,neutral-1fp2s-121.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.31,0.3,0.29,0.1
122,neutral-1fp2s-122.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.4,0.1,0.44,0.06
123,neutral-1fp2s-123.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.11,0.44,0.16
124,neutral-1fp2s-124.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.12,0.28,0.41,0.19
125,neutral-1fp2s-125.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.46,0.07,0.4,0.07
126,neutral-1fp2s-126.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.15,0.54,0.07
127,neutral-1fp2s-127.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.11,0.34,0.19
128,neutral-1fp2s-128.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.41,0.2,0.39,0.01
129,neutral-1fp2s-129.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.06,0.39,0.17,0.37
130,neutral-1fp2s-130.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.17,0.16,0.32,0.35
131,neutral-1fp2s-131.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.35,0.32,0.14
132,neutral-1fp2s-132.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.03,0.28,0.44,0.25
133,neutral-1fp2s-133.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.18,0.25,0.37,0.2
134,neutral-1fp2s-134.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.05,0.35,0.27,0.32
135,neutral-1fp2s-135.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.01,0.32,0.48,0.19
136,neutral-1fp2s-136.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.02,0.06,0.63,0.3
137,neutral-1fp2s-137.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.02,0.31,0.32
138,neutral-1fp2s-138.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.23,0.27,0.29,0.21
139,neutral-1fp2s-139.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.02,0.23,0.29,0.46
140,neutral-1fp2s-140.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.23,0.19,0.3
141,neutral-1fp2s-141.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.32,0.23,0.17
142,neutral-1fp2s-142.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.24,0.31,0.28,0.17
143,neutral-1fp2s-143.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.45,0.24,0.27,0.04
144,neutral-1fp2s-144.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.18,0.42,0.27,0.13
145,neutral-1fp2s-145.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.03,0.35,0.06,0.56
146,neutral-1fp2s-146.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.35,0.32,0.33,0.01
147,neutral-1fp2s-147.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.48,0.04,0.25,0.23
148,neutral-1fp2s-148.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.21,0.41,0.29,0.09
149,neutral-1fp2s-149.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.04,0.42,0.21
150,neutral-1fp2s-150.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.54,0.34,0.07,0.05
151,neutral-1fp2s-151.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.05,0.41,0.03,0.51
152,neutral-1fp2s-152.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.24,0.19,0.24,0.33
153,neutral-1fp2s-153.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.04,0.4,0.4,0.15
154,neutral-1fp2s-154.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.31,0.12,0.1,0.47
155,neutral-1fp2s-155.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.3,0.22,0.21
156,neutral-1fp2s-156.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.03,0.13,0.57
157,neutral-1fp2s-157.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.39,0.1,0.39,0.12
